***************************************-------------------第0个中心-------------------
center: 武将 [name=孟达, render=★★★★, tongshai=75, wuli=73, zhili=74, polic=66, qiangbin=通, jibin=通, nubin=精, qibin=疏, binqi=精, tongwu=148, tongzhi=149, tongwuzhi=222, tongwuzhizheng=288, salary=15840]
general:武将 [name=留賛, render=★★★★, tongshai=78, wuli=75, zhili=64, polic=57, qiangbin=精, jibin=精, nubin=疏, qibin=通, binqi=通, tongwu=153, tongzhi=142, tongwuzhi=217, tongwuzhizheng=274, salary=15070]
general:武将 [name=张翼, render=★★★★, tongshai=75, wuli=74, zhili=71, polic=72, qiangbin=通, jibin=精, nubin=精, qibin=疏, binqi=精, tongwu=149, tongzhi=146, tongwuzhi=220, tongwuzhizheng=292, salary=16060]
general:武将 [name=牵弘, render=★★★★, tongshai=70, wuli=74, zhili=66, polic=65, qiangbin=疏, jibin=通, nubin=疏, qibin=通, binqi=精, tongwu=144, tongzhi=136, tongwuzhi=210, tongwuzhizheng=275, salary=15125]
general:武将 [name=吴懿, render=★★★★, tongshai=83, wuli=73, zhili=68, polic=70, qiangbin=精, jibin=通, nubin=神, qibin=通, binqi=通, tongwu=156, tongzhi=151, tongwuzhi=224, tongwuzhizheng=294, salary=16170]
general:武将 [name=曹操, render=★★★★★, tongshai=96, wuli=72, zhili=91, polic=94, qiangbin=神, jibin=神, nubin=精, qibin=精, binqi=通, tongwu=148, tongzhi=160, tongwuzhi=221, tongwuzhizheng=272, salary=14960]
general:武将 [name=夏侯尚, render=★★★★, tongshai=79, wuli=72, zhili=74, polic=65, qiangbin=通, jibin=精, nubin=精, qibin=通, binqi=精, tongwu=151, tongzhi=153, tongwuzhi=225, tongwuzhizheng=290, salary=15950]
general:武将 [name=全琮, render=★★★★, tongshai=78, wuli=72, zhili=71, polic=61, qiangbin=精, jibin=通, nubin=精, qibin=疏, binqi=精, tongwu=150, tongzhi=149, tongwuzhi=221, tongwuzhizheng=282, salary=15510]
general:武将 [name=锺离牧, render=★★★★, tongshai=77, wuli=72, zhili=73, polic=65, qiangbin=疏, jibin=精, nubin=通, qibin=疏, binqi=精, tongwu=149, tongzhi=150, tongwuzhi=222, tongwuzhizheng=287, salary=15785]
general:武将 [name=孙皎, render=★★★★, tongshai=77, wuli=72, zhili=66, polic=71, qiangbin=通, jibin=精, nubin=精, qibin=疏, binqi=精, tongwu=149, tongzhi=143, tongwuzhi=215, tongwuzhizheng=286, salary=15730]
general:武将 [name=吾彦, render=★★★★, tongshai=74, wuli=72, zhili=77, polic=69, qiangbin=疏, jibin=通, nubin=精, qibin=疏, binqi=通, tongwu=146, tongzhi=151, tongwuzhi=223, tongwuzhizheng=292, salary=16060]
general:武将 [name=罗宪, render=★★★★, tongshai=85, wuli=71, zhili=75, polic=72, qiangbin=通, jibin=精, nubin=神, qibin=疏, binqi=神, tongwu=178, tongzhi=141, tongwuzhi=232, tongwuzhizheng=293, salary=16115]
general:武将 [name=成公英, render=★★★★, tongshai=73, wuli=71, zhili=80, polic=62, qiangbin=疏, jibin=通, nubin=通, qibin=精, binqi=精, tongwu=144, tongzhi=153, tongwuzhi=224, tongwuzhizheng=286, salary=15730]
general:武将 [name=孙瑜, render=★★★★, tongshai=77, wuli=70, zhili=68, polic=69, qiangbin=精, jibin=通, nubin=精, qibin=通, binqi=精, tongwu=147, tongzhi=145, tongwuzhi=215, tongwuzhizheng=284, salary=15620]
general:武将 [name=袁绍, render=★★★★, tongshai=81, wuli=69, zhili=70, polic=73, qiangbin=精, jibin=疏, nubin=精, qibin=疏, binqi=神, tongwu=150, tongzhi=151, tongwuzhi=220, tongwuzhizheng=293, salary=16115]
general:武将 [name=朱然, render=★★★★, tongshai=79, wuli=69, zhili=71, polic=60, qiangbin=精, jibin=精, nubin=精, qibin=疏, binqi=通, tongwu=148, tongzhi=150, tongwuzhi=219, tongwuzhizheng=279, salary=15345]
general:武将 [name=霍弋, render=★★★★, tongshai=73, wuli=69, zhili=69, polic=74, qiangbin=疏, jibin=精, nubin=精, qibin=疏, binqi=精, tongwu=142, tongzhi=142, tongwuzhi=211, tongwuzhizheng=285, salary=15675]
general:武将 [name=牵招, render=★★★★, tongshai=72, wuli=69, zhili=73, polic=75, qiangbin=疏, jibin=通, nubin=通, qibin=精, binqi=精, tongwu=141, tongzhi=145, tongwuzhi=214, tongwuzhizheng=289, salary=15895]
general:武将 [name=司马攸, render=★★★★, tongshai=71, wuli=68, zhili=75, polic=77, qiangbin=通, jibin=通, nubin=精, qibin=通, binqi=通, tongwu=139, tongzhi=146, tongwuzhi=214, tongwuzhizheng=291, salary=16005]
general:武将 [name=杨済, render=★★★★, tongshai=67, wuli=68, zhili=71, polic=66, qiangbin=通, jibin=通, nubin=通, qibin=通, binqi=通, tongwu=135, tongzhi=138, tongwuzhi=206, tongwuzhizheng=272, salary=14960]
general:武将 [name=曹昂, render=★★★★, tongshai=74, wuli=67, zhili=66, polic=68, qiangbin=通, jibin=精, nubin=疏, qibin=通, binqi=疏, tongwu=141, tongzhi=140, tongwuzhi=207, tongwuzhizheng=275, salary=15125]
general:武将 [name=胡烈, render=★★★★, tongshai=73, wuli=67, zhili=72, polic=65, qiangbin=通, jibin=精, nubin=精, qibin=通, binqi=通, tongwu=140, tongzhi=145, tongwuzhi=212, tongwuzhizheng=277, salary=15235]
general:武将 [name=马谡, render=★★★★★, tongshai=61, wuli=67, zhili=87, polic=68, qiangbin=通, jibin=疏, nubin=通, qibin=通, binqi=疏, tongwu=128, tongzhi=148, tongwuzhi=215, tongwuzhizheng=283, salary=15565]
general:武将 [name=霍峻, render=★★★★, tongshai=80, wuli=66, zhili=73, polic=62, qiangbin=通, jibin=精, nubin=精, qibin=疏, binqi=通, tongwu=146, tongzhi=153, tongwuzhi=219, tongwuzhizheng=281, salary=15455]
general:武将 [name=费耀, render=★★★★, tongshai=70, wuli=66, zhili=73, polic=62, qiangbin=通, jibin=通, nubin=疏, qibin=通, binqi=通, tongwu=136, tongzhi=143, tongwuzhi=209, tongwuzhizheng=271, salary=14905]
general:武将 [name=田疇, render=★★★★, tongshai=66, wuli=66, zhili=72, polic=76, qiangbin=疏, jibin=疏, nubin=通, qibin=通, binqi=疏, tongwu=132, tongzhi=138, tongwuzhi=204, tongwuzhizheng=280, salary=15400]
general:武将 [name=朱儁, render=★★★★, tongshai=78, wuli=65, zhili=70, polic=71, qiangbin=通, jibin=精, nubin=精, qibin=通, binqi=精, tongwu=143, tongzhi=148, tongwuzhi=213, tongwuzhizheng=284, salary=15620]
general:武将 [name=羊祜, render=★★★★★, tongshai=90, wuli=64, zhili=84, polic=87, qiangbin=神, jibin=通, nubin=神, qibin=精, binqi=通, tongwu=111, tongzhi=172, tongwuzhi=197, tongwuzhizheng=277, salary=15235]
general:武将 [name=王淩, render=★★★★, tongshai=74, wuli=64, zhili=70, polic=82, qiangbin=精, jibin=通, nubin=精, qibin=通, binqi=疏, tongwu=138, tongzhi=144, tongwuzhi=208, tongwuzhizheng=290, salary=15950]
general:武将 [name=陆抗, render=★★★★★, tongshai=91, wuli=63, zhili=87, polic=85, qiangbin=精, jibin=精, nubin=神, qibin=疏, binqi=神, tongwu=180, tongzhi=162, tongwuzhi=256, tongwuzhizheng=274, salary=15070]
general:武将 [name=吕範, render=★★★★, tongshai=73, wuli=63, zhili=74, polic=75, qiangbin=通, jibin=疏, nubin=精, qibin=疏, binqi=精, tongwu=136, tongzhi=147, tongwuzhi=210, tongwuzhizheng=285, salary=15675]
general:武将 [name=黄崇, render=★★★★, tongshai=67, wuli=63, zhili=72, polic=69, qiangbin=疏, jibin=通, nubin=精, qibin=疏, binqi=通, tongwu=130, tongzhi=139, tongwuzhi=202, tongwuzhizheng=271, salary=14905]
general:武将 [name=王经, render=★★★★, tongshai=67, wuli=63, zhili=66, polic=75, qiangbin=疏, jibin=通, nubin=通, qibin=通, binqi=疏, tongwu=130, tongzhi=133, tongwuzhi=196, tongwuzhizheng=271, salary=14905]
general:武将 [name=皇甫嵩, render=★★★★, tongshai=87, wuli=61, zhili=73, polic=51, qiangbin=神, jibin=通, nubin=精, qibin=疏, binqi=神, tongwu=179, tongzhi=146, tongwuzhi=239, tongwuzhizheng=291, salary=16005]
general:武将 [name=向宠, render=★★★★, tongshai=76, wuli=61, zhili=76, polic=67, qiangbin=通, jibin=通, nubin=精, qibin=疏, binqi=疏, tongwu=137, tongzhi=152, tongwuzhi=213, tongwuzhizheng=280, salary=15400]
general:武将 [name=陆凯, render=★★★★, tongshai=65, wuli=61, zhili=78, polic=85, qiangbin=疏, jibin=疏, nubin=通, qibin=疏, binqi=精, tongwu=126, tongzhi=143, tongwuzhi=204, tongwuzhizheng=289, salary=15895]
general:武将 [name=诸葛瞻, render=★★★★, tongshai=71, wuli=60, zhili=70, polic=72, qiangbin=通, jibin=通, nubin=精, qibin=通, binqi=精, tongwu=131, tongzhi=141, tongwuzhi=201, tongwuzhizheng=273, salary=15015]
general:武将 [name=司马炎, render=★★★★, tongshai=69, wuli=59, zhili=76, polic=79, qiangbin=疏, jibin=疏, nubin=通, qibin=通, binqi=疏, tongwu=128, tongzhi=145, tongwuzhi=204, tongwuzhizheng=283, salary=15565]
general:武将 [name=董厥, render=★★★★, tongshai=65, wuli=59, zhili=76, polic=78, qiangbin=疏, jibin=疏, nubin=精, qibin=疏, binqi=精, tongwu=124, tongzhi=141, tongwuzhi=200, tongwuzhizheng=278, salary=15290]
general:武将 [name=骆统, render=★★★★, tongshai=76, wuli=58, zhili=75, polic=77, qiangbin=通, jibin=通, nubin=精, qibin=疏, binqi=精, tongwu=134, tongzhi=151, tongwuzhi=209, tongwuzhizheng=286, salary=15730]
general:武将 [name=司马望, render=★★★★, tongshai=73, wuli=58, zhili=78, polic=65, qiangbin=疏, jibin=通, nubin=疏, qibin=通, binqi=疏, tongwu=131, tongzhi=151, tongwuzhi=209, tongwuzhizheng=274, salary=15070]
general:武将 [name=朱据, render=★★★★, tongshai=77, wuli=57, zhili=72, polic=70, qiangbin=精, jibin=通, nubin=精, qibin=通, binqi=通, tongwu=134, tongzhi=149, tongwuzhi=206, tongwuzhizheng=276, salary=15180]
general:武将 [name=阎柔, render=★★★★, tongshai=71, wuli=57, zhili=70, polic=73, qiangbin=疏, jibin=疏, nubin=精, qibin=精, binqi=疏, tongwu=128, tongzhi=141, tongwuzhi=198, tongwuzhizheng=271, salary=14905]
general:武将 [name=朱治, render=★★★★, tongshai=71, wuli=56, zhili=72, polic=73, qiangbin=通, jibin=通, nubin=精, qibin=通, binqi=疏, tongwu=127, tongzhi=143, tongwuzhi=199, tongwuzhizheng=272, salary=14960]
general:武将 [name=刘劭, render=★★★★, tongshai=71, wuli=53, zhili=74, polic=79, qiangbin=精, jibin=通, nubin=精, qibin=通, binqi=通, tongwu=124, tongzhi=145, tongwuzhi=198, tongwuzhizheng=277, salary=15235]
general:武将 [name=鲁淑, render=★★★★, tongshai=71, wuli=53, zhili=74, polic=76, qiangbin=疏, jibin=通, nubin=精, qibin=疏, binqi=精, tongwu=124, tongzhi=145, tongwuzhi=198, tongwuzhizheng=274, salary=15070]
general:武将 [name=鄧芝, render=★★★★, tongshai=73, wuli=52, zhili=81, polic=85, qiangbin=通, jibin=疏, nubin=精, qibin=通, binqi=精, tongwu=125, tongzhi=154, tongwuzhi=206, tongwuzhizheng=291, salary=16005]
general:武将 [name=曹叡, render=★★★★, tongshai=72, wuli=52, zhili=82, polic=82, qiangbin=通, jibin=疏, nubin=精, qibin=通, binqi=通, tongwu=124, tongzhi=154, tongwuzhi=206, tongwuzhizheng=288, salary=15840]
general:武将 [name=步骘, render=★★★★, tongshai=72, wuli=51, zhili=84, polic=86, qiangbin=疏, jibin=疏, nubin=精, qibin=疏, binqi=神, tongwu=123, tongzhi=156, tongwuzhi=207, tongwuzhizheng=293, salary=16115]
general:武将 [name=杨阜, render=★★★★, tongshai=67, wuli=50, zhili=83, polic=78, qiangbin=疏, jibin=通, nubin=通, qibin=通, binqi=精, tongwu=117, tongzhi=150, tongwuzhi=200, tongwuzhizheng=278, salary=15290]
general:武将 [name=程昱, render=★★★★★, tongshai=70, wuli=49, zhili=90, polic=79, qiangbin=精, jibin=疏, nubin=疏, qibin=疏, binqi=精, tongwu=119, tongzhi=160, tongwuzhi=209, tongwuzhizheng=288, salary=15840]
general:武将 [name=刘馥, render=★★★★, tongshai=64, wuli=49, zhili=73, polic=87, qiangbin=通, jibin=通, nubin=精, qibin=疏, binqi=精, tongwu=113, tongzhi=137, tongwuzhi=186, tongwuzhizheng=273, salary=15015]
general:武将 [name=贾诩, render=★★★★★, tongshai=86, wuli=48, zhili=97, polic=85, qiangbin=神, jibin=通, nubin=精, qibin=通, binqi=精, tongwu=115, tongzhi=170, tongwuzhi=200, tongwuzhizheng=280, salary=15400]
general:武将 [name=诸葛恪, render=★★★★★, tongshai=72, wuli=47, zhili=90, polic=80, qiangbin=通, jibin=疏, nubin=精, qibin=疏, binqi=疏, tongwu=119, tongzhi=162, tongwuzhi=209, tongwuzhizheng=289, salary=15895]
general:武将 [name=卫瓘, render=★★★★, tongshai=69, wuli=46, zhili=79, polic=78, qiangbin=疏, jibin=通, nubin=精, qibin=疏, binqi=精, tongwu=115, tongzhi=148, tongwuzhi=194, tongwuzhizheng=272, salary=14960]
general:武将 [name=梁习, render=★★★★, tongshai=73, wuli=40, zhili=73, polic=87, qiangbin=疏, jibin=疏, nubin=疏, qibin=精, binqi=精, tongwu=113, tongzhi=146, tongwuzhi=186, tongwuzhizheng=273, salary=15015]
general:武将 [name=沮授, render=★★★★★, tongshai=78, wuli=35, zhili=90, polic=89, qiangbin=通, jibin=通, nubin=精, qibin=精, binqi=精, tongwu=113, tongzhi=168, tongwuzhi=203, tongwuzhizheng=292, salary=16060]
general:武将 [name=张既, render=★★★★, tongshai=74, wuli=35, zhili=75, polic=88, qiangbin=疏, jibin=通, nubin=通, qibin=精, binqi=神, tongwu=109, tongzhi=149, tongwuzhi=184, tongwuzhizheng=272, salary=14960]
general:武将 [name=庞统, render=★★★★★, tongshai=78, wuli=34, zhili=97, polic=85, qiangbin=通, jibin=通, nubin=疏, qibin=疏, binqi=通, tongwu=112, tongzhi=175, tongwuzhi=209, tongwuzhizheng=294, salary=16170]
general:武将 [name=蒋琬, render=★★★★★, tongshai=78, wuli=34, zhili=84, polic=93, qiangbin=通, jibin=通, nubin=精, qibin=疏, binqi=神, tongwu=112, tongzhi=162, tongwuzhi=196, tongwuzhizheng=289, salary=15895]
general:武将 [name=诸葛瑾, render=★★★★, tongshai=75, wuli=34, zhili=81, polic=89, qiangbin=疏, jibin=通, nubin=精, qibin=疏, binqi=疏, tongwu=109, tongzhi=156, tongwuzhi=190, tongwuzhizheng=279, salary=15345]
general:武将 [name=蒯良, render=★★★★, tongshai=68, wuli=33, zhili=88, polic=82, qiangbin=通, jibin=疏, nubin=神, qibin=疏, binqi=通, tongwu=101, tongzhi=156, tongwuzhi=189, tongwuzhizheng=271, salary=14905]
general:武将 [name=杜预, render=★★★★★, tongshai=85, wuli=30, zhili=85, polic=80, qiangbin=精, jibin=通, nubin=神, qibin=疏, binqi=神, tongwu=171, tongzhi=140, tongwuzhi=226, tongwuzhizheng=272, salary=14960]
general:武将 [name=费祎, render=★★★★★, tongshai=77, wuli=30, zhili=83, polic=92, qiangbin=通, jibin=通, nubin=精, qibin=疏, binqi=精, tongwu=107, tongzhi=160, tongwuzhi=190, tongwuzhizheng=282, salary=15510]
general:武将 [name=田豊, render=★★★★★, tongshai=72, wuli=29, zhili=93, polic=87, qiangbin=精, jibin=通, nubin=通, qibin=疏, binqi=精, tongwu=101, tongzhi=165, tongwuzhi=194, tongwuzhizheng=281, salary=15455]
general:武将 [name=荀攸, render=★★★★★, tongshai=73, wuli=26, zhili=94, polic=88, qiangbin=通, jibin=通, nubin=通, qibin=通, binqi=通, tongwu=99, tongzhi=167, tongwuzhi=193, tongwuzhizheng=281, salary=15455]
-------------------第1个中心-------------------
center: 武将 [name=阎象, render=★, tongshai=30, wuli=27, zhili=70, polic=74, qiangbin=疏, jibin=疏, nubin=疏, qibin=疏, binqi=通, tongwu=57, tongzhi=100, tongwuzhi=127, tongwuzhizheng=201, salary=11055]
此类中包含对象的个数为：80
general:武将 [name=典韦, render=★★★★★, tongshai=56, wuli=95, zhili=35, polic=29, qiangbin=通, jibin=精, nubin=疏, qibin=疏, binqi=疏, tongwu=151, tongzhi=91, tongwuzhi=186, tongwuzhizheng=215, salary=11825]
general:武将 [name=祝融, render=★★★★, tongshai=74, wuli=85, zhili=29, polic=24, qiangbin=精, jibin=神, nubin=疏, qibin=通, binqi=疏, tongwu=159, tongzhi=103, tongwuzhi=188, tongwuzhizheng=212, salary=11660]
general:武将 [name=徐质, render=★★★, tongshai=68, wuli=83, zhili=24, polic=26, qiangbin=通, jibin=疏, nubin=疏, qibin=精, binqi=疏, tongwu=151, tongzhi=92, tongwuzhi=175, tongwuzhizheng=201, salary=11055]
general:武将 [name=花鬘, render=★★★, tongshai=69, wuli=82, zhili=32, polic=26, qiangbin=精, jibin=精, nubin=疏, qibin=通, binqi=疏, tongwu=151, tongzhi=101, tongwuzhi=183, tongwuzhizheng=209, salary=11495]
general:武将 [name=鄂焕, render=★★★, tongshai=60, wuli=82, zhili=42, polic=21, qiangbin=疏, jibin=精, nubin=疏, qibin=通, binqi=疏, tongwu=142, tongzhi=102, tongwuzhi=184, tongwuzhizheng=205, salary=11275]
general:武将 [name=吴兰, render=★★★, tongshai=62, wuli=80, zhili=35, polic=36, qiangbin=通, jibin=通, nubin=疏, qibin=通, binqi=疏, tongwu=142, tongzhi=97, tongwuzhi=177, tongwuzhizheng=213, salary=11715]
general:武将 [name=邢道栄, render=★★, tongshai=61, wuli=80, zhili=41, polic=16, qiangbin=疏, jibin=精, nubin=疏, qibin=通, binqi=疏, tongwu=141, tongzhi=102, tongwuzhi=182, tongwuzhizheng=198, salary=10890]
general:武将 [name=魏続, render=★★★, tongshai=67, wuli=78, zhili=31, polic=32, qiangbin=通, jibin=通, nubin=疏, qibin=精, binqi=疏, tongwu=145, tongzhi=98, tongwuzhi=176, tongwuzhizheng=208, salary=11440]
general:武将 [name=厳舆, render=★★, tongshai=61, wuli=78, zhili=44, polic=20, qiangbin=精, jibin=精, nubin=通, qibin=疏, binqi=疏, tongwu=139, tongzhi=105, tongwuzhi=183, tongwuzhizheng=203, salary=11165]
general:武将 [name=宋宪, render=★★★, tongshai=68, wuli=77, zhili=38, polic=27, qiangbin=通, jibin=通, nubin=疏, qibin=精, binqi=疏, tongwu=145, tongzhi=106, tongwuzhi=183, tongwuzhizheng=210, salary=11550]
general:武将 [name=谢旌, render=★★★, tongshai=64, wuli=76, zhili=34, polic=33, qiangbin=精, jibin=疏, nubin=疏, qibin=通, binqi=疏, tongwu=140, tongzhi=98, tongwuzhi=174, tongwuzhizheng=207, salary=11385]
general:武将 [name=鲍隆, render=★★★, tongshai=58, wuli=76, zhili=49, polic=23, qiangbin=通, jibin=疏, nubin=精, qibin=疏, binqi=疏, tongwu=134, tongzhi=107, tongwuzhi=183, tongwuzhizheng=206, salary=11330]
general:武将 [name=李豊, render=★, tongshai=69, wuli=74, zhili=50, polic=22, qiangbin=疏, jibin=通, nubin=疏, qibin=通, binqi=通, tongwu=143, tongzhi=119, tongwuzhi=193, tongwuzhizheng=215, salary=11825]
general:武将 [name=阿会喃, render=★★, tongshai=65, wuli=74, zhili=26, polic=33, qiangbin=疏, jibin=精, nubin=疏, qibin=通, binqi=疏, tongwu=139, tongzhi=91, tongwuzhi=165, tongwuzhizheng=198, salary=10890]
general:武将 [name=夏侯德, render=★★★, tongshai=69, wuli=73, zhili=32, polic=40, qiangbin=通, jibin=疏, nubin=疏, qibin=精, binqi=疏, tongwu=142, tongzhi=101, tongwuzhi=174, tongwuzhizheng=214, salary=11770]
general:武将 [name=朱褒, render=★★★, tongshai=68, wuli=73, zhili=34, polic=32, qiangbin=疏, jibin=精, nubin=通, qibin=疏, binqi=精, tongwu=141, tongzhi=102, tongwuzhi=175, tongwuzhizheng=207, salary=11385]
general:武将 [name=董荼那, render=★★★, tongshai=68, wuli=73, zhili=31, polic=37, qiangbin=通, jibin=精, nubin=疏, qibin=疏, binqi=疏, tongwu=141, tongzhi=99, tongwuzhi=172, tongwuzhizheng=209, salary=11495]
general:武将 [name=高昇, render=★★, tongshai=67, wuli=73, zhili=41, polic=21, qiangbin=精, jibin=疏, nubin=疏, qibin=通, binqi=疏, tongwu=140, tongzhi=108, tongwuzhi=181, tongwuzhizheng=202, salary=11110]
general:武将 [name=郭援, render=★, tongshai=66, wuli=73, zhili=36, polic=33, qiangbin=通, jibin=疏, nubin=疏, qibin=精, binqi=通, tongwu=139, tongzhi=102, tongwuzhi=175, tongwuzhizheng=208, salary=11440]
general:武将 [name=鄧贤, render=★, tongshai=61, wuli=73, zhili=45, polic=36, qiangbin=通, jibin=疏, nubin=通, qibin=疏, binqi=通, tongwu=134, tongzhi=106, tongwuzhi=179, tongwuzhizheng=215, salary=11825]
general:武将 [name=张球, render=★, tongshai=69, wuli=72, zhili=44, polic=30, qiangbin=疏, jibin=疏, nubin=疏, qibin=精, binqi=通, tongwu=141, tongzhi=113, tongwuzhi=185, tongwuzhizheng=215, salary=11825]
general:武将 [name=杨昂, render=★, tongshai=68, wuli=72, zhili=38, polic=35, qiangbin=通, jibin=通, nubin=通, qibin=通, binqi=疏, tongwu=140, tongzhi=106, tongwuzhi=178, tongwuzhizheng=213, salary=11715]
general:武将 [name=文虎, render=★★★, tongshai=66, wuli=72, zhili=45, polic=30, qiangbin=通, jibin=疏, nubin=疏, qibin=通, binqi=通, tongwu=138, tongzhi=111, tongwuzhi=183, tongwuzhizheng=213, salary=11715]
general:武将 [name=焦触, render=★★, tongshai=65, wuli=72, zhili=33, polic=32, qiangbin=疏, jibin=疏, nubin=疏, qibin=精, binqi=疏, tongwu=137, tongzhi=98, tongwuzhi=170, tongwuzhizheng=202, salary=11110]
general:武将 [name=陈应, render=★, tongshai=62, wuli=72, zhili=45, polic=27, qiangbin=精, jibin=通, nubin=疏, qibin=疏, binqi=疏, tongwu=134, tongzhi=107, tongwuzhi=179, tongwuzhizheng=206, salary=11330]
general:武将 [name=郭马, render=★★★, tongshai=68, wuli=71, zhili=47, polic=21, qiangbin=通, jibin=精, nubin=疏, qibin=疏, binqi=疏, tongwu=139, tongzhi=115, tongwuzhi=186, tongwuzhizheng=207, salary=11385]
general:武将 [name=袁尚, render=★★★, tongshai=63, wuli=71, zhili=42, polic=38, qiangbin=通, jibin=疏, nubin=疏, qibin=通, binqi=精, tongwu=134, tongzhi=105, tongwuzhi=176, tongwuzhizheng=214, salary=11770]
